"","APV","ATV","IDV","LPV","NFV","RTV","SQV"
"433",7.8,NA,0.6,3.6,1.4,NA,1.1
"434",0.6,NA,1.3,0.8,1.1,NA,0.6
"435",2.9,NA,2.6,2.4,4.8,NA,8
"436",3.5,NA,3.5,3.8,6,NA,5.7
"437",3.9,NA,31.1,18.1,30,NA,25.4
"438",9.9,NA,29.4,22.3,48.6,NA,91.4
"439",11,NA,180,100.7,143.6,NA,350
"440",1.8,NA,1.5,1.6,1.3,1.1,1.3
"441",8.4,NA,3.2,7.7,3.4,4,3.7
"442",21,NA,1.6,19,2.9,5.2,1.3
"443",48,NA,2.4,31,4.1,6.5,2
"444",4.6,NA,2.1,6.2,2.6,3.6,2.7
"445",18,NA,1.2,15,3.3,5,1.4
"446",0.1,NA,1.6,NA,2.4,0.4,0.5
"447",0.1,NA,2.6,NA,5.1,0.8,1.4
"448",0.1,NA,2.3,NA,8.2,0.9,1.2
"449",0.1,NA,3.1,NA,12.9,1.4,1.2
"450",0.1,NA,3,NA,12.2,1.3,1.5
"451",0.4,NA,0.5,NA,0.4,0.5,0.4
"452",1.1,NA,1.1,NA,1.4,1.3,1
"453",0.9,NA,1.7,NA,2.5,1.7,1.2
"454",1,0.7,0.6,0.8,1.3,0.8,0.6
"455",1,1.5,0.8,0.6,3.2,1.2,0.8
"456",0.9,4.1,2.4,NA,83,1.3,2.4
"457",3.9,49,8.2,NA,232,13,33
"458",0.7,1.1,1,NA,1.2,1.2,0.7
"459",0.8,0.9,0.9,NA,1.1,1.1,0.9
"460",0.5,1.9,1.1,NA,25,0.6,0.5
"461",0.8,2.9,1.3,NA,5.8,2.4,0.8
"462",1.6,141,27,NA,86,9.8,111
"463",0.2,6,4.2,NA,7.7,0.8,1.3
"464",0.4,7.9,0.4,NA,0.8,0.2,0.5
"465",0.8,0.8,1,NA,1.2,1.1,0.7
"466",0.3,31,12,NA,66,3.6,12
"467",1.6,2.7,1.8,NA,7.4,1.6,1
"468",4.3,3.8,2.6,NA,15,13,3.5
"469",0.3,9.9,0.5,NA,1,0.1,0.3
"470",0.5,0.6,0.8,NA,1.1,0.7,0.5
"471",1.1,12,2.8,NA,72,2.8,6.9
"472",0.6,1.5,1.2,NA,31,0.9,1.1
"473",0.9,0.8,0.8,NA,1.3,0.8,0.8
"474",0.8,8.8,0.4,NA,0.9,0.2,0.3
"475",0.4,0.7,0.8,NA,1.5,1,0.7
"476",1.4,7.6,2.3,NA,142,0.8,NA
"477",0.1,22,0.1,NA,6,0.1,NA
"478",0.5,0.7,0.4,NA,12,0.7,0.6
"479",4.3,22,24,NA,56,19,24
"480",0.6,0.7,0.7,NA,0.8,0.6,0.7
"481",1,2.3,1.9,NA,46,1.1,2
"482",0.6,0.7,0.7,NA,0.8,0.9,0.6
"483",0.5,5.2,0.3,NA,0.3,0.1,0.1
"484",0.5,0.6,0.6,NA,1,0.5,0.4
"485",1.3,4,3.4,NA,91,4.3,5.6
"486",2.7,14,5.2,NA,140,10,21
"487",3.2,2.1,4.6,NA,23,8.2,2.1
"488",2.1,6.9,7.8,NA,35,7.6,5.8
"489",0.4,0.7,0.5,NA,0.6,0.6,0.5
"490",0.3,0.8,0.4,NA,13,0.3,0.3
"491",1.2,7.4,2.6,NA,82,1.8,2.7
"492",0.5,1.8,0.9,NA,14,0.6,0.5
"493",6.2,3.4,1.3,NA,59,9.9,18
"494",0.9,1.4,0.9,NA,4.6,1,0.8
"495",3.4,NA,9.1,NA,30.3,21,30.3
"496",0.9,NA,1.3,NA,2.5,1.4,1
"497",0.6,NA,0.7,NA,1.1,0.9,0.6
"498",0.7,NA,1,NA,47,1.4,1.5
"499",1.1,NA,1.1,NA,1.5,1.7,0.9
"500",0.8,NA,1,NA,1.4,1.3,1.1
"501",0.6,NA,1.6,NA,38.9,1,0.9
"502",1.2,NA,17.1,NA,21,61.2,3.8
"503",3,NA,4.3,NA,4.5,16.5,0.7
"504",0.8,NA,1.3,NA,1.8,1.4,1.2
"505",0.5,NA,0.7,NA,1.3,0.9,1
"506",6,NA,10.5,NA,18.4,12,18
"507",1.3,NA,1.3,1.1,2.6,1.6,1.5
"508",1.6,NA,5.2,2.8,5.8,14,1.6
"509",0.8,NA,0.6,0.7,0.9,0.8,0.7
"510",0.6,0.8,1,0.7,0.8,0.7,0.6
"511",14,8.8,6.8,17,15,63,4.1
"512",5.4,4.7,9.4,7.4,9.9,20,33
"513",1,NA,7.2,1.3,21,5.1,8.4
"514",1,2.6,2.1,1,53,2.1,2.6
"515",1.2,1.4,1.8,1,3.4,3.4,3.7
"516",0.8,1.1,1,1,2,1.5,0.8
"517",5.6,65,150,75,89,140,59
"518",4.8,NA,53,56,59,82,6.2
"519",1.9,1.5,1.5,1.5,2.4,1.9,1.2
"520",0.4,NA,0.4,0.4,0.5,0.4,0.6
"521",1.1,0.9,0.7,0.9,1,1.5,0.8
"522",0.5,NA,0.6,0.6,0.6,0.6,0.5
"523",0.4,0.9,0.9,0.8,0.7,0.6,1
"524",2.3,19.3,17,9.9,18.4,45.3,16.7
"525",0.6,0.7,0.8,0.6,1,0.7,0.8
"526",0.6,1.3,1.1,0.6,23.3,0.6,0.3
"527",1,15.2,23.4,10.1,29.8,36.7,7.1
"528",2.1,1.9,2.5,4.3,2.5,14.5,1.2
"529",1.5,27.4,31.4,13.2,43.6,73.5,21.4
"530",1.2,2.5,1.8,1.2,45,0.9,2.3
"531",1.3,2.6,3.5,1.4,4.1,7.6,0.4
"532",4.9,10.8,24.5,7.5,56,9.3,16.2
"533",4.1,17.2,8.4,10.9,6.1,61.5,20.9
"534",6.3,NA,7.5,6.3,17.6,48.7,47.7
"535",1.7,NA,1.2,0.4,15.3,1.6,6.1
"536",5.4,NA,1.3,NA,58.7,8.6,14.1
"537",8.6,NA,4.1,1.6,74.3,10,55.9
"538",10.4,NA,10.7,3.1,395.3,9.1,92
"539",64.1,NA,62.9,46.8,143.8,21.6,24.4
"540",23,NA,42.3,7.2,400,59.8,400
"541",118.1,NA,24.2,77,400,400,137.2
"542",31.1,NA,26.8,NA,400,84.5,140.6
"543",42.5,NA,78.3,11.4,400,76,364.6
"544",32,NA,57.8,13.8,400,42.1,241.1
"545",28.1,NA,52.6,9,400,54.2,256.2
"546",19,NA,41,6,271,31,105
"547",20.9,NA,38,13.9,63.9,33.7,24
"548",74,NA,92.1,123.5,400,141.1,400
"549",252.2,NA,400,94.4,400,86.2,265.5
"550",1.6,NA,1.3,1.9,3,4.9,3.9
"551",24.8,NA,8.6,37.5,3,7.2,2
"552",2.3,NA,1.9,1.4,1.8,4.7,2.8
"553",1.6,NA,3.2,1.9,4.3,2.8,1.8
"554",2.2,NA,1.4,2,2.3,4.6,1.9
"555",12.5,NA,33.9,28.9,8.5,5,3.5
"556",42.6,NA,33.6,80.2,30.8,92.9,30.4
"557",40,NA,16.7,79,14,33.3,14.3
"558",4.6,NA,6.3,9.5,8.4,22.4,4.5
"559",39.5,NA,79.2,99.3,101.9,84.5,43.1
"560",52.7,NA,41.5,102.7,136.6,275,162.3
"561",NA,NA,2.7,NA,7.8,12.6,4.9
"562",0.4,NA,25.3,NA,27.8,27.8,3.2
"563",0.2,NA,6.1,NA,31.4,1.7,1.2
"564",4.2,NA,6.1,NA,400,11.9,13.5
"565",3.4,NA,1.6,NA,3,7.3,5.5
"566",4.3,NA,21.9,NA,76.7,113,181
"567",1,NA,4.8,NA,3.5,5.8,0.9
"568",0.8,NA,1,0.7,1.6,1,0.9
"569",0.9,0.9,1,0.7,1.3,1,0.8
"570",0.8,0.7,0.8,0.7,0.9,0.7,0.6
"571",0.8,NA,0.7,0.7,1,1,0.7
"572",0.5,0.9,0.9,0.7,0.5,0.5,0.8
"573",1,NA,3.6,1.3,5.7,3,2.4
"574",1.4,1.3,1.4,1.2,1.5,1.3,1.2
"575",1,1.2,1.6,1.1,2.3,1.2,1
"576",0.4,0.9,1,0.7,1.4,0.8,0.7
"577",0.5,2.5,1.1,0.7,38,1.2,15
"578",7.8,43,41,45,67,400,22
"579",15,NA,NA,48,NA,160,NA
"580",0.7,1,1,1.1,1.6,1.5,1.3
"581",0.8,8.4,2.2,1.8,88,9.2,40
"582",18,41,89,108,63,96,219
"583",1.2,1.5,2.9,2.8,2.5,8.7,0.6
"584",44,NA,25,153,31.1,400,26
"585",13,NA,77,34,116,87,278
"586",2.8,NA,33,21,27,178,54
"587",0.6,NA,0.8,0.5,1.3,0.6,0.5
"588",3.1,11,10,6.2,13,41,165
"589",27,0.6,21,54,6.5,12,0.5
"590",1.8,1.3,1.6,1.1,1.5,1.2,1.2
"591",1,1.2,1.5,0.8,1.6,1.1,0.8
"592",3.8,61,33,44,62,230,40
"593",NA,NA,13,17,24,24,15
"594",NA,26,28,26,36,40,25
"595",NA,NA,178,400,175,400,84
"596",NA,NA,102,122,113,400,400
"597",NA,NA,0.9,0.8,1.3,0.8,0.5
"598",NA,NA,1.8,1.1,3.3,1.5,1
"599",NA,NA,1.8,1.2,2.4,1.5,1.1
"601",NA,NA,0.7,0.6,0.7,0.5,0.5
"602",NA,NA,1.1,0.9,2.2,1.1,1.1
"603",NA,NA,10,28,59,94,100
"604",0.3,NA,0.4,0.3,0.4,0.3,0.3
"605",0.6,NA,1,1,1.1,1.1,1.1
"606",1,0.7,1.2,0.7,0.9,0.7,0.9
"607",4.9,45,74,30,92,75,400
"608",1.4,1.3,5.8,13,4.7,18,0.9
"609",0.7,0.8,0.8,0.7,0.6,0.6,1
"610",19,17,37,17,47,46,67
"611",0.7,0.6,0.7,0.7,0.9,0.6,0.8
"612",0.7,1.3,1,0.8,0.9,0.7,0.9
"613",0.7,NA,0.7,0.6,0.7,0.7,0.6
"614",0.6,NA,0.7,0.7,0.8,0.6,0.6
"615",0.7,0.7,0.7,NA,0.8,0.8,0.7
"616",0.9,NA,0.9,0.7,1,0.9,0.8
"617",1.5,1.5,1.2,1.3,1.9,1.7,1
"618",1.1,1.1,1,1.1,1.1,1.3,1
"619",1.2,1.1,0.8,1.1,1.1,1.2,0.8
"620",0.8,0.9,0.8,0.8,0.9,1.2,0.9
"622",0.3,0.5,0.4,0.3,0.4,0.3,0.6
"623",1.5,NA,1.5,1.5,1.8,1.8,1
"624",66,400,400,199,400,400,400
"625",0.7,NA,0.7,0.7,0.8,0.6,0.6
"626",1.2,1.6,1.9,1,4.4,2.1,1.8
"627",1.2,NA,1.6,1.1,3,1.6,1.1
"628",0.6,0.8,0.8,0.8,0.7,0.6,0.9
"629",0.6,NA,0.8,0.6,1.5,0.8,0.7
"630",132,NA,25,213,43,400,9.3
"631",16,9.8,5.7,41,8,82,6.5
"632",0.7,NA,0.7,0.7,1,1,0.6
"633",6,NA,11,48,29,400,10
"634",3.7,NA,16,48,54,118,10
"635",25,NA,45,97,84,108,157
"636",0.9,NA,1.2,0.7,1.9,1.1,0.8
"637",9.2,NA,18,71,31,162,6.5
"638",1.5,6.7,3.3,2.3,118,2.7,6.3
"639",0.4,NA,0.7,0.5,1,0.6,0.5
"640",0.6,NA,0.6,0.5,0.8,0.6,0.6
"641",0.7,NA,0.8,0.6,1.1,0.6,0.5
"642",0.6,NA,0.6,0.7,0.8,0.7,0.5
"643",0.9,NA,1.1,0.9,1.9,1.1,0.7
"644",1.5,NA,1.7,1.5,2.9,2.1,1.7
"645",NA,5.8,NA,0.2,NA,NA,NA
"646",NA,3.5,NA,0.2,NA,NA,NA
"647",0.6,NA,0.4,NA,1,0.4,0.3
"648",0.4,NA,0.4,NA,0.7,0.5,0.3
"649",0.5,NA,0.7,NA,0.9,0.7,0.7
"650",0.4,NA,0.4,NA,0.8,0.5,0.5
"651",0.5,NA,0.4,NA,0.7,0.5,0.6
"652",0.2,NA,0.3,NA,0.3,0.2,0.3
"653",1,NA,0.6,NA,1.1,0.7,0.8
"654",0.5,NA,0.4,NA,0.5,0.4,0.4
"655",0.7,NA,1,NA,1.8,1.6,1.4
"656",0.5,NA,0.8,NA,0.9,0.9,0.7
"657",0.4,NA,0.4,NA,0.5,0.6,0.5
"658",0.2,NA,0.2,NA,0.3,0.2,0.2
"659",0.4,NA,0.3,NA,0.5,0.3,0.4
"660",1.1,NA,1,NA,2.1,1.1,0.9
"661",0.7,NA,0.8,NA,1.5,0.8,0.7
"662",0.8,NA,0.8,NA,1.4,1.1,0.7
"663",0.5,NA,0.2,NA,0.4,0.2,0.3
"664",0.5,NA,0.9,NA,1.6,1,0.6
"665",0.4,NA,0.3,NA,0.3,0.4,0.4
"666",0.3,NA,0.2,NA,0.4,0.4,0.2
"667",0.6,NA,0.7,NA,0.9,0.7,0.7
"668",0.7,NA,0.6,NA,0.7,0.6,0.5
"669",0.7,NA,0.8,NA,1.6,0.9,0.6
"670",0.8,NA,1,NA,1.7,1.1,0.8
"671",0.5,NA,0.6,NA,1,0.5,0.5
"672",0.5,NA,0.6,NA,1.1,0.6,0.7
"673",0.3,NA,0.4,NA,0.8,0.3,0.2
"674",0.7,NA,0.8,NA,1.8,0.9,0.8
"675",0.3,NA,0.3,NA,0.4,0.4,0.3
"676",0.6,NA,0.5,NA,1.1,0.5,0.7
"677",0.6,NA,0.4,NA,0.6,0.5,0.5
"678",0.7,NA,0.8,NA,0.8,0.9,0.6
"679",0.4,NA,0.4,NA,0.6,0.6,0.5
"680",0.8,NA,0.6,NA,0.8,0.9,0.4
"681",0.4,NA,0.5,NA,0.8,0.9,0.6
"682",1.1,NA,0.6,NA,0.6,0.7,0.6
"683",0.4,NA,0.6,NA,0.9,0.4,0.2
"684",0.7,NA,0.7,NA,0.9,0.8,0.5
"685",1.1,NA,1.3,NA,1.2,1,0.8
"686",0.5,NA,0.5,NA,0.7,0.6,0.4
"687",0.2,NA,0.2,NA,0.5,0.2,0.3
"688",0.5,NA,0.6,NA,1,0.8,0.7
"689",0.4,NA,0.5,NA,0.8,0.7,0.7
"690",0.3,NA,0.3,NA,0.8,0.3,0.3
"691",0.4,NA,0.3,NA,0.6,0.4,0.3
"692",0.3,NA,0.4,NA,0.5,0.5,0.4
"693",0.5,NA,0.5,NA,0.9,0.5,0.3
"694",0.7,NA,0.8,NA,0.8,0.8,1
"695",0.3,NA,0.6,NA,1.3,0.6,0.5
"696",0.4,NA,0.4,NA,0.4,0.4,0.3
"697",0.7,NA,0.4,NA,0.8,0.9,0.4
"698",0.6,NA,0.6,NA,0.8,0.7,0.5
"699",0.5,NA,0.6,NA,0.9,0.7,0.5
"700",0.4,NA,0.5,NA,0.8,0.6,0.5
"701",0.6,NA,0.6,NA,1.1,0.9,0.6
"702",0.5,NA,0.7,NA,0.9,0.8,0.5
"703",5.4,10,NA,2.5,14,9.9,3.1
"704",1.1,0.9,NA,0.9,1.7,1.4,0.8
"705",21,2.8,NA,219,50,139,7.6
"706",8,87,NA,73,82,188,93
"707",34,5.8,NA,83,6.5,67,2.8
"708",34,1.6,NA,40,4.9,29,0.9
"709",4.2,0.4,NA,3.4,1.3,1.6,0.3
"710",11,0.8,NA,86,10,46,1.3
"711",6.1,1.6,NA,78,12,35,1.7
"712",1.4,2.9,NA,20,10,57,2.2
"713",0.7,0.7,NA,0.7,0.9,0.8,0.8
"714",21,5.2,NA,104,18,81,2.6
"715",142,51,NA,233,15,162,18
"716",2.8,NA,7.2,8.1,1.6,NA,1
"717",1.8,NA,2.3,1.2,42,NA,6
"718",3.9,NA,53,70,68,NA,400
"719",9.1,NA,8.1,8.5,12,NA,27
"720",6,NA,13,20,5.2,NA,3.2
"721",37,NA,1.3,13,3.6,NA,1.7
"722",13,NA,10,43,31,NA,85
"723",4.5,NA,31,17,40,NA,106
"724",8.7,NA,39,28,72,NA,193
"725",7.7,NA,3.3,17,8.1,NA,1.5
"726",9.7,NA,29,47,33,NA,125
"727",5.7,NA,28,22,27,NA,47
"728",21,NA,11,60,31,NA,61
"729",69,NA,33,130,172,NA,400
"730",6.9,NA,39.9,39.1,44.1,NA,NA
"731",23.3,NA,13.2,77.3,41.6,NA,NA
"732",16.3,NA,20.4,87.4,30.5,NA,NA
"733",11.4,NA,149.8,86.4,156.8,NA,NA
"734",16.5,NA,58,92.5,178,NA,NA
"735",1.1,NA,5.6,NA,15,4.8,3.4
"736",9.9,NA,8.3,NA,32,16,3.7
"737",4.8,NA,11,NA,11,29,1.1
"738",31,NA,20,NA,29,45,1.8
"739",48,NA,22,NA,38,55,29
"740",5,NA,38,NA,68,30,89
"741",3.1,NA,8.4,NA,6.9,9.2,1.8
"742",27,NA,36,NA,66,116,69
"743",0.5,NA,1.1,0.4,23,0.6,1.1
"744",2.2,10,21,25,13,49,5
"745",3.8,25,29,8,89,22,55
"746",0.8,0.6,1.2,1.3,1.6,2,1.5
"747",0.6,0.6,0.8,0.6,1.4,1.1,0.7
"748",5.2,110,9.8,13,6.4,30,2.6
"749",0.2,0.6,0.5,0.5,0.6,0.6,0.5
"750",1.1,1,1,0.9,1,1.1,0.8
"751",0.9,NA,0.7,0.7,1,0.8,0.7
"752",0.9,0.9,0.7,0.8,0.9,0.7,0.9
"753",0.6,NA,0.9,0.6,1.4,0.8,0.7
"754",6.9,16,14,47,40,51,24
"755",146,53,26,198,32,400,11
"756",44,187,400,139,114,400,59
"757",37,NA,18,100,19,140,18
"758",1.2,3.1,2.8,1.2,5.5,5,3.2
"759",3.5,28,30,52,44,240,98
"760",0.8,0.7,0.9,0.4,1.5,0.9,1.1
"761",187,70,31,306,51,400,11
"762",43,NA,19,67,32,44,15
"763",0.7,NA,2.1,6.5,3.4,11,0.6
"764",0.7,NA,0.8,1,1.3,1,0.6
"765",2.2,NA,14,27,27,50,6.9
"766",0.7,NA,0.4,0.5,0.5,0.5,0.5
"767",0.6,NA,0.6,0.6,0.5,0.6,0.7
"768",2.4,NA,13,26,24,35,3.9
"769",6.3,NA,44,30,73,78,164
"770",5.5,NA,12,6.2,35,13,26
"771",0.4,NA,0.3,0.3,0.4,0.6,0.6
"772",0.9,NA,0.8,0.8,1.2,1,0.6
"773",0.4,NA,0.9,0.6,1.1,0.8,1
"774",1.4,NA,6,1.6,15,2,2.7
"775",0.6,NA,0.6,0.5,0.6,0.6,0.5
"776",0.4,NA,0.5,0.4,0.5,0.5,0.4
"777",1.5,NA,4.8,5.8,1.1,9.8,1.2
"778",0.5,NA,0.8,0.5,1,0.7,0.7
"779",1.9,NA,7.7,12,9.4,35,2.3
"780",0.5,NA,0.7,0.5,0.7,0.4,0.7
"781",6.1,NA,164,87,228,146,376
"782",0.5,NA,0.4,0.3,0.4,0.5,0.5
"783",13,NA,43,108,17,74,2.5
"784",4.2,NA,12,27,14,51,1.4
"785",0.4,NA,0.4,0.4,0.5,0.4,0.4
"786",0.9,NA,2.8,4.9,2.5,9.9,0.4
"787",14,NA,7,37,5.8,18,0.3
"788",2.1,NA,3.3,2.7,2.1,4.8,0.2
"789",0.8,NA,0.8,0.7,1,1,0.6
"790",0.3,NA,0.3,0.3,0.4,0.3,0.2
"791",24,NA,89,211,268,181.8,63
"792",0.7,0.9,0.7,1,1,0.8,0.6
"793",0.2,0.5,0.4,0.4,0.6,0.3,0.6
"794",0.6,0.8,1,0.6,1.4,0.8,0.9
"795",0.7,0.9,1.2,0.7,1.7,0.8,0.9
"796",1.7,NA,NA,5.8,19.2,30.8,0.1
"797",0.5,NA,0.5,0.5,0.6,0.5,0.4
"798",2.2,NA,2.3,4.5,7.4,14.8,0.2
"799",NA,NA,2.3,3.3,2.3,6.5,0.6
"800",1,NA,1.4,0.9,1.9,1.2,0.9
"801",1.6,NA,4.1,2.9,9,59.5,1.8
"802",1.1,NA,1.6,1.7,1.8,7.7,0.7
"803",1.1,NA,1.1,1,1.6,1.2,1
"804",0.3,NA,0.6,1.2,0.5,3.4,0.4
"805",1.6,NA,6.9,13.6,6.7,33.9,1.3
"806",1.1,3.3,4,1.8,8.5,4.2,3.2
"807",1.2,2.6,3.5,1.9,3.5,5.3,0.5
"808",0.9,1.3,1.2,0.8,1.7,1,0.9
"809",6.6,23,11,5.3,56,36,12
"810",0.7,1.1,1.2,1.6,1.6,7.5,0.4
"811",14,120,140,99,110,190,400
"812",300,400,62,120,160,300,400
"813",0.8,2.1,1.6,2.2,1.6,11,0.6
"814",19,53,15,130,28,400,87
"815",0.7,1.9,1.8,2.2,1.6,18,0.8
"816",400,400,33,400,91,NA,400
"817",25,32,24,47,41,NA,200
"818",34,112,23,72,128,NA,400
"819",40,58,9.4,116,67,NA,400
"820",3.9,3.2,6.5,4.3,17,NA,23
"821",3.8,6.8,9.2,4.1,21,NA,18
"822",5,7.3,9.9,4.9,11,18,1.3
"823",0.4,4.1,0.4,0.3,0.6,0.2,0.5
"824",21,60,31,110,81,300,77
"825",0.3,0.6,0.4,0.4,0.7,0.4,0.6
"826",0.9,1,0.8,0.9,1.1,0.7,0.8
"827",5.3,32,24,8.5,91,52,300
"828",7.8,63,21,35,54,79,64
"829",7.8,63,21,35,54,79,64
"830",2.5,10,9.6,6.8,15,19,2.9
"831",0.6,0.5,0.6,0.3,0.7,0.5,0.3
"832",1.7,1.3,1.4,1,1.1,1.6,0.8
"833",0.2,0.3,0.3,0.2,0.3,0.3,0.3
"834",0.8,0.6,0.7,0.8,1.4,0.9,0.5
"835",0.4,0.4,0.5,0.5,0.5,0.5,0.6
"836",0.9,0.9,0.9,0.6,0.7,0.7,0.6
"837",0.5,1.2,1,1,1.4,0.8,0.8
"838",0.7,0.7,0.6,0.7,0.7,0.6,0.7
"839",14,13,42,67,58,102,18
"840",1.3,3.1,4.6,2.9,3.7,12,0.9
"841",4.6,208,6.7,7.5,6.6,36,0.9
"842",33,29,20,38,48,122,93
"843",0.7,0.8,0.9,0.4,1.5,0.9,1.1
"844",4.6,8.1,7.9,8.3,14,33,22
"845",9.6,30,42,14,48,34,66
"846",22,38,15,34,30,82,66
"847",15,0.8,37,210,9.4,25,1.4
"848",2.6,76,4.2,3.6,8.3,6.5,1.6
